country,happiness_rank,happiness_score
Denmark,1,7.526
Switzerland,2,7.509
Iceland,3,7.501
Norway,4,7.498
Finland,5,7.413
Canada,6,7.404
Netherlands,7,7.339
New Zealand,8,7.334
Australia,9,7.313
Sweden,10,7.291
Israel,11,7.267
Austria,12,7.119
United States,13,7.104
Costa Rica,14,7.087
Puerto Rico,15,7.039
Germany,16,6.994
Brazil,17,6.952
Belgium,18,6.929
Ireland,19,6.907
Luxembourg,20,6.871
Mexico,21,6.778
Singapore,22,6.739
United Kingdom,23,6.725
Chile,24,6.705
Panama,25,6.701
Argentina,26,6.65
Czech Republic,27,6.596
United Arab Emirates,28,6.573
Uruguay,29,6.545
Malta,30,6.488
Colombia,31,6.481
France,32,6.478
Thailand,33,6.474
Saudi Arabia,34,6.379
Taiwan,34,6.379
Qatar,36,6.375
Spain,37,6.361
Algeria,38,6.355
Guatemala,39,6.324
Suriname,40,6.269
Kuwait,41,6.239
Bahrain,42,6.218
Trinidad and Tobago,43,6.168
Venezuela,44,6.084
Slovakia,45,6.078
El Salvador,46,6.068
Malaysia,47,6.005
Nicaragua,48,5.992
Uzbekistan,49,5.987
Italy,50,5.977
Ecuador,51,5.976
Belize,52,5.956
Japan,53,5.921
Kazakhstan,54,5.919
Moldova,55,5.897
Russia,56,5.856
Poland,57,5.835
South Korea,57,5.835
Bolivia,59,5.822
Lithuania,60,5.813
Belarus,61,5.802
North Cyprus,62,5.771
Slovenia,63,5.768
Peru,64,5.743
Turkmenistan,65,5.658
Mauritius,66,5.648
Libya,67,5.615
Latvia,68,5.56
Cyprus,69,5.546
Paraguay,70,5.538
Romania,71,5.528
Estonia,72,5.517
Jamaica,73,5.51
Croatia,74,5.488
Hong Kong,75,5.458
Somalia,76,5.44
Kosovo,77,5.401
Turkey,78,5.389
Indonesia,79,5.314
Jordan,80,5.303
Azerbaijan,81,5.291
Philippines,82,5.279
China,83,5.245
Bhutan,84,5.196
Kyrgyzstan,85,5.185
Serbia,86,5.177
Bosnia and Herzegovina,87,5.163
Montenegro,88,5.161
Dominican Republic,89,5.155
Morocco,90,5.151
Hungary,91,5.145
Pakistan,92,5.132
Lebanon,93,5.129
Portugal,94,5.123
Macedonia,95,5.121
Vietnam,96,5.061
Somaliland Region,97,5.057
Tunisia,98,5.045
Greece,99,5.033
Tajikistan,100,4.996
Mongolia,101,4.907
Laos,102,4.876
Nigeria,103,4.875
Honduras,104,4.871
Iran,105,4.813
Zambia,106,4.795
Nepal,107,4.793
Palestinian Territories,108,4.754
Albania,109,4.655
Bangladesh,110,4.643
Sierra Leone,111,4.635
Iraq,112,4.575
Namibia,113,4.574
Cameroon,114,4.513
Ethiopia,115,4.508
South Africa,116,4.459
Sri Lanka,117,4.415
India,118,4.404
Myanmar,119,4.395
Egypt,120,4.362
Armenia,121,4.36
Kenya,122,4.356
Ukraine,123,4.324
Ghana,124,4.276
Democratic Republic of the Congo,125,4.272
Georgia,126,4.252
Republic of the Congo,127,4.236
Senegal,128,4.219
Bulgaria,129,4.217
Mauritania,130,4.201
Zimbabwe,131,4.193
Malawi,132,4.156
Sudan,133,4.139
Gabon,134,4.121
Mali,135,4.073
Haiti,136,4.028
Botswana,137,3.974
Comoros,138,3.956
Ivory Coast,139,3.916
Cambodia,140,3.907
Angola,141,3.866
Niger,142,3.856
South Sudan,143,3.832
Chad,144,3.763
Burkina Faso,145,3.739
Uganda,145,3.739
Yemen,147,3.724
Madagascar,148,3.695
Tanzania,149,3.666
Liberia,150,3.622
Guinea,151,3.607
Rwanda,152,3.515
Benin,153,3.484
Afghanistan,154,3.36
Togo,155,3.303
Syria,156,3.069
Burundi,157,2.905
